#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:18.13 tex:47706 mv:19551 misc:71 imb:1620 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:18.12 tex:2668 mv:1907 misc:1153 imb:30 pmb:257 smb:1333 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:29.03 aq:19.22 tex:1594 mv:1817 misc:1045 imb:28 pmb:207 smb:1385 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:29.03 aq:19.75 tex:1401 mv:1556 misc:931 imb:24 pmb:178 smb:1418 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:29.03 aq:19.89 tex:2853 mv:2213 misc:1198 imb:44 pmb:263 smb:1313 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:19.94 tex:2303 mv:1947 misc:1118 imb:45 pmb:225 smb:1350 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:29.03 aq:20.36 tex:3228 mv:2144 misc:1220 imb:63 pmb:262 smb:1295 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.03 aq:20.03 tex:4845 mv:2745 misc:1338 imb:123 pmb:249 smb:1248 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.03 aq:20.14 tex:3030 mv:2310 misc:1268 imb:100 pmb:230 smb:1290 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:20.46 tex:2806 mv:2653 misc:1245 imb:101 pmb:245 smb:1274 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:29.03 aq:21.27 tex:3536 mv:2596 misc:1268 imb:91 pmb:256 smb:1273 d:- ref:0 ;
